"match_id","leagueid","radiant.team_id","radiant.name","radiant.tag","radiant.logo_url","dire.team_id","dire.name","dire.tag","dire.logo_url"
8013454282,17163,8849833,"VERTEX PACK","vP","https://steamusercontent-a.akamaihd.net/ugc/2047503411652997007/08F27DE9B0F0C1AB4C669A5785486AAA77E8917C/",8849837,"FALL VICTIMS","FV","https://steamusercontent-a.akamaihd.net/ugc/1839182035511443777/DF26E33597EAEB9EBB3F085DA1CA7667E5E11BCB/"
8013474860,17163,8849837,"FALL VICTIMS","FV","https://steamusercontent-a.akamaihd.net/ugc/1839182035511443777/DF26E33597EAEB9EBB3F085DA1CA7667E5E11BCB/",8849833,"VERTEX PACK","vP","https://steamusercontent-a.akamaihd.net/ugc/2047503411652997007/08F27DE9B0F0C1AB4C669A5785486AAA77E8917C/"
8013492086,17163,8849833,"VERTEX PACK","vP","https://steamusercontent-a.akamaihd.net/ugc/2047503411652997007/08F27DE9B0F0C1AB4C669A5785486AAA77E8917C/",8849837,"FALL VICTIMS","FV","https://steamusercontent-a.akamaihd.net/ugc/1839182035511443777/DF26E33597EAEB9EBB3F085DA1CA7667E5E11BCB/"
8013519888,17163,8970060,"Moonwalkers","MW","https://steamusercontent-a.akamaihd.net/ugc/2446097424529632497/7D798608363051E3C4AA9D1B769E1728B8AFA56D/",8849817,"ZEUS THUNDER GOD","ZTG","https://steamusercontent-a.akamaihd.net/ugc/1832426636071192128/298F144FCABFB502E6C9FE1DA66F61D9181A0C9F/"
8013541709,17163,8849817,"ZEUS THUNDER GOD","ZTG","https://steamusercontent-a.akamaihd.net/ugc/1832426636071192128/298F144FCABFB502E6C9FE1DA66F61D9181A0C9F/",8970060,"Moonwalkers","MW","https://steamusercontent-a.akamaihd.net/ugc/2446097424529632497/7D798608363051E3C4AA9D1B769E1728B8AFA56D/"
8013564062,17163,8970060,"Moonwalkers","MW","https://steamusercontent-a.akamaihd.net/ugc/2446097424529632497/7D798608363051E3C4AA9D1B769E1728B8AFA56D/",8849817,"ZEUS THUNDER GOD","ZTG","https://steamusercontent-a.akamaihd.net/ugc/1832426636071192128/298F144FCABFB502E6C9FE1DA66F61D9181A0C9F/"
8013585320,17233,8629014,"Dragon Blood","DB","https://steamusercontent-a.akamaihd.net/ugc/2036224122590251530/1CF2060AE5A404AEF691C3180FF9CB522056149A/",8629324,"Swift Knights","Sk","https://steamusercontent-a.akamaihd.net/ugc/2446107492346973561/03C1A606587B371C139805153F66CD7367C6E837/"
8013613332,17233,8629324,"Swift Knights","Sk","https://steamusercontent-a.akamaihd.net/ugc/2446107492346973561/03C1A606587B371C139805153F66CD7367C6E837/",8629014,"Dragon Blood","DB","https://steamusercontent-a.akamaihd.net/ugc/2036224122590251530/1CF2060AE5A404AEF691C3180FF9CB522056149A/"
8013614272,17199,350190,"Ascent Esports","Ascent","https://steamcdn-a.akamaihd.net/apps/dota2/images/team_logos/350190.png",8911139,"Manta Esports","MANTA","https://steamusercontent-a.akamaihd.net/ugc/2478749260055361941/F4D1D80AB29862CA0C957DFAD1456CBE98483F27/"
8013614726,17233,8629317,"Bright Crusaders","Bc","https://steamusercontent-a.akamaihd.net/ugc/2274947340409011428/1DB70894416C865659F1417EC6330B6DE78470F9/",8629318,"Mad Monkeys","Mm","https://steamusercontent-a.akamaihd.net/ugc/2508018112053409972/A10316EBD20ECE720470ED4A5D07B3C6DDDC693A/"
8013619315,16313,8893837,"Parallel eSports","PeS","https://steamusercontent-a.akamaihd.net/ugc/1999066441861408614/71D1E68ECD1B5567B1E56F93F8511DB66D829C93/",9332069,"Mister Maniacs","MM","https://steamusercontent-a.akamaihd.net/ugc/2508011791700199350/FC1DC14A21F3B99692E7057A7246290AEBB7DE51/"
8013644152,17233,8629318,"Mad Monkeys","Mm","https://steamusercontent-a.akamaihd.net/ugc/2508018112053409972/A10316EBD20ECE720470ED4A5D07B3C6DDDC693A/",8629317,"Bright Crusaders","Bc","https://steamusercontent-a.akamaihd.net/ugc/2274947340409011428/1DB70894416C865659F1417EC6330B6DE78470F9/"
8013644482,16313,9332069,"Mister Maniacs","MM","https://steamusercontent-a.akamaihd.net/ugc/2508011791700199350/FC1DC14A21F3B99692E7057A7246290AEBB7DE51/",8893837,"Parallel eSports","PeS","https://steamusercontent-a.akamaihd.net/ugc/1999066441861408614/71D1E68ECD1B5567B1E56F93F8511DB66D829C93/"
8013650577,17233,9425656,"LSG","LSG","https://steamusercontent-a.akamaihd.net/ugc/2497885570409092010/7A0CAB8AFDEC8BDE65F27E01C713A6B5459B65AD/",2443375,"Foxy gaming","Foxy","https://steamusercontent-a.akamaihd.net/ugc/2289585333366985191/AC5A2097BEF04FD6D958B34C8A02A75C445ED58A/"
8013664872,17199,8911139,"Manta Esports","MANTA","https://steamusercontent-a.akamaihd.net/ugc/2478749260055361941/F4D1D80AB29862CA0C957DFAD1456CBE98483F27/",350190,"Ascent Esports","Ascent","https://steamcdn-a.akamaihd.net/apps/dota2/images/team_logos/350190.png"
8013671582,17233,9426115,"Dark Rebellion","DR","https://steamusercontent-a.akamaihd.net/ugc/2471989872563605684/46813E19616E0715D879EFB5049D3A1DE331488B/",8629315,"Wiser Warriors","WW","https://steamusercontent-a.akamaihd.net/ugc/2477632689738982294/52F73BED281DF75257007811CA9CDF5144CB2B1F/"
