"order","pick","active_team","hero_id","player_slot","extra_time","total_time_taken","match_id","leagueid"
13.0,True,2.0,102.0,4.0,130.0,9.0,8013519888,17163
14.0,True,3.0,176.0,7.0,130.0,7.0,8013519888,17163
15.0,True,3.0,208.0,6.0,130.0,36.0,8013519888,17163
16.0,True,2.0,40.0,1.0,130.0,16.0,8013519888,17163
17.0,True,2.0,98.0,3.0,124.0,2.0,8013519888,17163
18.0,True,3.0,14.0,8.0,124.0,27.0,8013519888,17163
19.0,False,3.0,32.0,"",130.0,20.0,8013519888,17163
20.0,False,2.0,214.0,"",130.0,4.0,8013519888,17163
21.0,False,2.0,206.0,"",124.0,2.0,8013519888,17163
22.0,False,3.0,224.0,"",81.0,72.0,8013519888,17163
23.0,True,3.0,22.0,5.0,130.0,44.0,8013519888,17163
24.0,True,2.0,204.0,2.0,130.0,6.0,8013519888,17163
1.0,False,3.0,46.0,"",130.0,21.0,8013541709,17163
2.0,False,2.0,220.0,"",82.0,68.0,8013541709,17163
3.0,False,2.0,18.0,"",130.0,1.0,8013541709,17163
4.0,False,3.0,208.0,"",82.0,6.0,8013541709,17163
5.0,False,2.0,42.0,"",48.0,54.0,8013541709,17163
6.0,False,2.0,80.0,"",130.0,2.0,8013541709,17163
7.0,False,3.0,108.0,"",130.0,14.0,8013541709,17163
8.0,True,3.0,10.0,5.0,48.0,37.0,8013541709,17163
9.0,True,2.0,86.0,2.0,123.0,4.0,8013541709,17163
10.0,False,3.0,274.0,"",123.0,10.0,8013541709,17163
11.0,False,3.0,272.0,"",48.0,2.0,8013541709,17163
12.0,False,2.0,240.0,"",48.0,6.0,8013541709,17163
13.0,True,2.0,194.0,4.0,123.0,19.0,8013541709,17163
14.0,True,3.0,172.0,8.0,123.0,17.0,8013541709,17163
15.0,True,3.0,40.0,6.0,48.0,2.0,8013541709,17163
16.0,True,2.0,22.0,0.0,48.0,9.0,8013541709,17163
17.0,True,2.0,72.0,3.0,123.0,28.0,8013541709,17163
18.0,True,3.0,78.0,9.0,123.0,25.0,8013541709,17163
19.0,False,3.0,34.0,"",48.0,3.0,8013541709,17163
20.0,False,2.0,224.0,"",48.0,11.0,8013541709,17163
21.0,False,2.0,140.0,"",123.0,5.0,8013541709,17163
22.0,False,3.0,84.0,"",123.0,5.0,8013541709,17163
23.0,True,3.0,162.0,7.0,48.0,6.0,8013541709,17163
24.0,True,2.0,138.0,1.0,48.0,5.0,8013541709,17163
1.0,False,3.0,224.0,"",130.0,16.0,8013564062,17163
2.0,False,3.0,180.0,"",130.0,7.0,8013564062,17163
3.0,False,3.0,140.0,"",130.0,1.0,8013564062,17163
4.0,False,2.0,176.0,"",130.0,1.0,8013564062,17163
5.0,False,3.0,184.0,"",130.0,5.0,8013564062,17163
6.0,False,3.0,170.0,"",130.0,2.0,8013564062,17163
7.0,False,2.0,240.0,"",130.0,1.0,8013564062,17163
8.0,True,2.0,60.0,4.0,130.0,15.0,8013564062,17163
9.0,True,3.0,18.0,8.0,130.0,40.0,8013564062,17163
10.0,False,2.0,42.0,"",130.0,2.0,8013564062,17163
11.0,False,2.0,220.0,"",120.0,1.0,8013564062,17163
12.0,False,3.0,168.0,"",120.0,5.0,8013564062,17163
13.0,True,3.0,272.0,5.0,130.0,5.0,8013564062,17163
14.0,True,2.0,172.0,1.0,130.0,1.0,8013564062,17163
15.0,True,2.0,84.0,0.0,120.0,7.0,8013564062,17163
16.0,True,3.0,144.0,9.0,120.0,3.0,8013564062,17163
17.0,True,3.0,204.0,7.0,130.0,4.0,8013564062,17163
18.0,True,2.0,70.0,2.0,130.0,9.0,8013564062,17163
19.0,False,2.0,252.0,"",120.0,2.0,8013564062,17163
20.0,False,3.0,214.0,"",120.0,3.0,8013564062,17163
21.0,False,3.0,164.0,"",130.0,1.0,8013564062,17163
22.0,False,2.0,80.0,"",130.0,3.0,8013564062,17163
23.0,True,2.0,16.0,3.0,120.0,30.0,8013564062,17163
24.0,True,3.0,22.0,6.0,120.0,7.0,8013564062,17163
1.0,False,3.0,110.0,"",130.0,8.0,8013585320,17233
2.0,False,3.0,8.0,"",130.0,4.0,8013585320,17233
3.0,False,3.0,64.0,"",130.0,1.0,8013585320,17233
4.0,False,2.0,156.0,"",130.0,17.0,8013585320,17233
5.0,False,3.0,240.0,"",79.0,71.0,8013585320,17233
6.0,False,3.0,220.0,"",130.0,2.0,8013585320,17233
7.0,False,2.0,76.0,"",130.0,9.0,8013585320,17233
8.0,True,2.0,28.0,3.0,79.0,5.0,8013585320,17233
9.0,True,3.0,172.0,9.0,130.0,14.0,8013585320,17233
10.0,False,2.0,132.0,"",130.0,12.0,8013585320,17233
11.0,False,2.0,122.0,"",79.0,1.0,8013585320,17233
12.0,False,3.0,100.0,"",79.0,12.0,8013585320,17233
13.0,True,3.0,176.0,7.0,130.0,2.0,8013585320,17233
14.0,True,2.0,10.0,4.0,130.0,11.0,8013585320,17233
15.0,True,2.0,4.0,1.0,79.0,34.0,8013585320,17233
16.0,True,3.0,42.0,6.0,79.0,2.0,8013585320,17233
17.0,True,3.0,14.0,8.0,126.0,8.0,8013585320,17233
18.0,True,2.0,252.0,2.0,126.0,4.0,8013585320,17233
19.0,False,2.0,6.0,"",79.0,1.0,8013585320,17233
20.0,False,3.0,224.0,"",79.0,4.0,8013585320,17233
21.0,False,3.0,184.0,"",126.0,2.0,8013585320,17233
22.0,False,2.0,210.0,"",126.0,21.0,8013585320,17233
23.0,True,2.0,36.0,0.0,79.0,32.0,8013585320,17233
24.0,True,3.0,96.0,5.0,79.0,3.0,8013585320,17233
1.0,False,3.0,164.0,"",130.0,22.0,8013613332,17233
2.0,False,3.0,132.0,"",130.0,12.0,8013613332,17233
3.0,False,3.0,122.0,"",128.0,1.0,8013613332,17233
4.0,False,2.0,20.0,"",130.0,4.0,8013613332,17233
5.0,False,3.0,156.0,"",130.0,2.0,8013613332,17233
6.0,False,3.0,76.0,"",128.0,1.0,8013613332,17233
7.0,False,2.0,238.0,"",128.0,10.0,8013613332,17233
8.0,True,2.0,148.0,2.0,130.0,28.0,8013613332,17233
9.0,True,3.0,176.0,7.0,128.0,45.0,8013613332,17233
10.0,False,2.0,100.0,"",128.0,2.0,8013613332,17233
11.0,False,2.0,220.0,"",115.0,1.0,8013613332,17233
12.0,False,3.0,130.0,"",115.0,18.0,8013613332,17233
13.0,True,3.0,40.0,6.0,128.0,39.0,8013613332,17233
14.0,True,2.0,10.0,4.0,128.0,18.0,8013613332,17233
15.0,True,2.0,172.0,3.0,107.0,8.0,8013613332,17233
16.0,True,3.0,28.0,8.0,107.0,28.0,8013613332,17233
17.0,True,3.0,120.0,9.0,128.0,18.0,8013613332,17233
18.0,True,2.0,196.0,1.0,128.0,19.0,8013613332,17233
19.0,False,2.0,240.0,"",107.0,6.0,8013613332,17233
20.0,False,3.0,102.0,"",107.0,2.0,8013613332,17233
21.0,False,3.0,110.0,"",128.0,1.0,8013613332,17233
22.0,False,2.0,224.0,"",128.0,4.0,8013613332,17233
23.0,True,2.0,16.0,0.0,107.0,4.0,8013613332,17233
24.0,True,3.0,112.0,5.0,107.0,28.0,8013613332,17233
1.0,False,2.0,178.0,"",122.0,0.0,8013614272,17199
2.0,False,3.0,158.0,"",122.0,0.0,8013614272,17199
3.0,False,3.0,116.0,"",122.0,0.0,8013614272,17199
4.0,False,3.0,22.0,"",122.0,0.0,8013614272,17199
5.0,False,3.0,20.0,"",122.0,0.0,8013614272,17199
6.0,False,3.0,26.0,"",122.0,0.0,8013614272,17199
